지역,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug
광주 광산구,89.235,89.606,89.738,89.861,90.281,90.534,90.861,90.767,91.835,92.232,92.458,92.625,93.009,93.447,94.028,94.379,94.815,95.216,95.376,96.577,97.257,97.923,98.503,98.712,100,101.19,102.36,103.113,103.937,104.255,105.221,106.908,108.077,109.346,110.105,110.435,111.262,111.973,112.541,112.464,113.225,113.688,113.967,114.13,114.462,114.641,116.073,116.879,117.794,118.72,119.14,119.713,120.417,121.193,121.613,122.22,122.937,123.225,123.629,123.742,124.84,125.639,126.676,127.514,126.997,127.524,127.106,127.405,127.699,128.251
대전 동구,97.781,97.858,97.952,98.018,98.064,98.072,98.198,98.282,98.356,98.348,98.378,98.509,98.523,98.92,98.995,99.107,99.226,99.322,99.436,99.61,99.734,99.856,99.805,99.912,100,100.059,100.291,100.341,100.434,100.552,100.746,100.864,101.431,101.568,102.06,102.395,102.219,103.29,103.833,104.089,104.231,104.419,104.658,104.822,104.999,105.301,105.629,105.767,105.973,106.273,106.321,106.543,106.803,106.994,107.238,107.539,107.81,108.067,108.126,108.34,108.515,108.871,109.141,109.646,110.064,110.481,110.879,111.218,111.575,111.921
대전 중구,93.551,93.961,94.198,94.264,94.584,95.094,95.216,95.584,96.38,96.392,96.527,96.604,96.85,97.197,97.429,97.554,97.736,98.056,98.368,98.638,98.905,99.109,99.545,99.754,100,100.319,100.307,100.808,101.024,100.992,101.795,102.124,102.292,102.509,102.722,103.126,103.435,103.637,103.805,104.064,104.214,104.369,104.525,104.897,105.077,105.338,105.596,105.762,105.952,106.163,106.316,106.36,106.629,107.074,107.392,107.686,107.975,108.579,109.502,110.523,111.079,111.798,112.332,113.405,113.914,114.118,114.617,115.303,115.704,116.173
대전 서구,97.005,96.896,96.972,96.937,96.944,96.857,97.084,97.511,97.528,97.621,97.572,97.744,97.967,98.133,98.267,98.204,98.612,98.967,99.108,99.239,99.313,99.418,99.712,99.717,100,100.146,100.362,100.594,100.967,101.205,101.312,101.399,101.743,101.943,102.282,102.593,102.982,103.522,103.946,104.251,104.544,104.768,105.014,105.241,105.576,105.95,106.78,107.259,107.49,107.708,108.14,108.221,108.475,108.582,108.725,109.031,109.396,110.05,110.445,111.016,111.622,111.947,112.507,113.004,113.507,113.767,114.139,114.564,114.998,115.406
대전 유성구,89.953,89.931,90.28,90.479,90.506,90.917,91.281,92.063,92.841,93.1,93.646,93.984,95.358,95.882,96.295,96.645,97.346,97.561,98.055,98.496,99.018,99.28,99.547,99.941,100,100.312,101.101,101.639,101.701,102.426,102.398,102.736,103.12,103.481,104.114,104.604,105.205,105.719,106.026,106.216,106.73,106.935,107.261,107.643,108.169,108.555,109.026,109.262,109.704,110.03,110.397,110.794,111.119,111.52,112.074,112.784,113.388,113.842,114.274,114.889,115.798,116.476,117.474,118.535,119.075,119.5,120.107,120.557,121.298,121.994
경기 수원시 권선구,99.763,99.78,99.872,99.916,100.442,99.437,99.542,99.68,99.836,99.58,99.272,99.604,99.714,99.424,99.467,99.386,99.27,99.206,99.217,99.468,99.487,99.76,99.76,99.948,100,100.101,100.202,100.327,100.448,100.448,101.454,101.507,101.65,101.741,101.749,101.745,101.99,101.99,101.973,102.451,102.841,102.901,104.152,105.129,105.287,106.203,106.415,106.558,106.859,107.199,107.998,108.148,108.435,108.674,108.986,109.178,109.471,109.963,109.963,110.357,110.894,111.231,111.625,111.866,112.419,112.802,112.952,113.17,113.547,113.981
경기 수원시 팔달구,97.982,98.165,98.168,98.307,98.45,98.55,98.635,98.74,98.832,98.917,99.081,99.102,99.114,99.143,99.125,99.107,99.199,99.356,99.395,99.423,99.562,99.723,99.756,99.937,100,100.046,100.114,100.247,100.406,100.671,101.168,101.277,101.787,102.363,102.561,102.763,102.857,103.126,103.465,103.84,104.419,104.564,104.822,105.334,105.948,106.273,106.45,107.027,107.203,107.647,107.825,108.605,108.676,109.09,109.57,110.225,110.724,111.496,112.092,113.027,113.627,113.755,114.097,114.777,115.152,115.272,115.91,116.303,116.871,117.532
경기 수원시 영통구,97.678,98.338,98.974,99.273,99.067,99.067,97.507,97.964,97.756,97.484,97.484,97.847,97.649,97.694,98.022,97.986,98.328,98.7,98.712,99.002,99.425,99.464,99.507,99.485,100,100.087,100.112,99.435,99.66,99.769,100.274,100.525,100.734,101.046,101.632,101.933,102.019,102.033,102.276,102.375,102.657,102.969,103.013,103.549,103.815,103.884,104.379,104.601,104.783,104.862,105.021,105.097,105.504,106.033,106.134,106.643,107.329,107.656,107.656,108.365,108.852,108.893,109.595,109.974,110.021,110.243,110.562,110.939,111.366,111.468
경기 성남시 수정구,97.231,97.315,97.477,97.589,97.631,97.775,97.921,98.098,98.182,98.237,98.281,98.423,98.507,98.555,98.624,98.681,98.803,98.909,98.962,99.048,99.142,99.274,99.511,99.752,100,100.106,100.227,100.417,100.62,101.023,101.264,101.516,101.815,102.123,102.478,102.834,103.066,103.458,103.791,104.209,104.587,105.038,105.446,105.847,106.324,106.739,107.199,107.696,108.184,108.655,109.148,109.403,109.737,110.085,110.434,110.913,111.434,111.793,112.234,113.012,114.427,115.543,116.517,117.796,118.779,119.769,120.361,120.932,123.049,123.827
경기 성남시 중원구,95.996,96.044,96.181,96.215,96.392,96.573,96.642,96.725,96.909,97.112,97.241,97.443,97.555,97.674,97.778,97.952,98.17,98.395,98.55,98.789,98.842,99.127,99.598,99.7,100,100.179,100.405,100.687,100.876,101.151,101.445,101.801,102.087,102.358,102.611,102.827,103.04,103.274,103.643,104.124,104.551,104.883,105.254,105.593,105.966,106.506,107.114,107.59,108.227,108.84,109.321,109.667,110.089,110.516,110.923,111.503,112.144,112.708,113.262,113.796,114.243,114.86,115.5,116.086,116.682,117.181,117.616,118.299,118.74,118.993
