역번호,호선,역명,역주소(새주소),구,법정동,행정동
2520,5,신정,양천구 오목로 179 (신정동),양천구,신정동,신정4동
2521,5,목동,양천구 오목로 245 (목동),양천구,목동,목1동
2522,5,오목교,양천구 오목로 342 (목동),양천구,목동,목1동
2523,5,양평,영등포구 양산로 21 (양평동2가),영등포구,양평동2가,양평1동
2524,5,영등포구청,영등포구 당산로  121 (당산동3가),영등포구,당산동3가,당산1동
2525,5,영등포시장,영등포구 양산로 200 (영등포동5가),영등포구,영등포동5가,영등포본동
2526,5,신길,영등포구 경인로114가길 9 (영등포동1가),영등포구,영등포동1가,영등포본동
2527,5,여의도,영등포구 여의나루로 40 (여의도동),영등포구,여의도동,여의동
2528,5,여의나루,영등포구 여의동로 343 (여의도동),영등포구,여의도동,여의동
2529,5,마포,마포구 마포대로 33 (도화동),마포구,도화동,도화동
2530,5,공덕,마포구 마포대로 100 (공덕동),마포구,공덕동,도화동
2531,5,애오개,마포구 마포대로 210 (아현동),마포구,아현동,아현동
2532,5,충정로,서대문구 충정로 28-1 (충정로3가),서대문구,충정로3가,충현동
2533,5,서대문,종로구 통일로 126 (평동),종로구,평동,교남동
2534,5,광화문,종로구 세종대로 172 (세종로),종로구,세종로,종로1.2.3.4가동
2535,5,종로3가,종로구 종로  129 (종로3가),종로구,종로3가,종로1.2.3.4가동
2536,5,을지로4가,중구 을지로  178 (을지로4가),중구,을지로4가,을지로동
2537,5,동대문역사문화공원,중구 을지로  279 (을지로7가),중구,을지로7가,광희동
2538,5,청구,중구 청구로 77 (신당동),중구,신당동,신당동
2539,5,신금호,성동구 금호로 154 (금호동2가),성동구,금호동2가,금호2.3가동
2540,5,행당,성동구 행당로 89 (행당동),성동구,행당동,행당2동
2541,5,왕십리,성동구 왕십리로 300 (행당동),성동구,행당동,행당1동
2542,5,마장,성동구 마장로 296 (마장동),성동구,마장동,마장동
2543,5,답십리,성동구 천호대로 300(용답동),성동구,용답동,용답동
2544,5,장한평,동대문구 천호대로 405 (장안동),동대문구,장안동,장안1동
2545,5,군자,광진구 천호대로 550 (능동),광진구,능동,능동
2546,5,아차산,광진구 천호대로 657 (능동),광진구,능동,능동
2547,5,광나루,광진구 아차산로 571 (광장동),광진구,광장동,광장동
2548,5,천호,강동구 천호대로 997 (천호동),강동구,천호동,천호2동
2549,5,강동,강동구 천호대로 1097 (천호동),강동구,천호동,천호3동
2550,5,길동,강동구 양재대로 1480 (길동),강동구,길동,길동
2551,5,굽은다리,강동구 양재대로 1572 (명일동),강동구,명일동,명일1동
2552,5,명일,강동구 양재대로 1632 (명일동),강동구,명일동,명일1동
2553,5,고덕,강동구 고덕로 253 (고덕동),강동구,고덕동,고덕1동
2554,5,상일동,강동구 고덕로 359 (상일동),강동구,상일동,상일동
2555,5,둔촌동,강동구 양재대로 1369 (둔촌동),강동구,둔촌동,둔춘2동
2556,5,올림픽공원,송파구 양재대로 1233 (방이동),송파구,방이동,오륜동
2557,5,방이,송파구 양재대로 1127 (방이동),송파구,방이동,방이1동
2558,5,오금,송파구 오금로  321 (오금동),송파구,오금동,오금동
2559,5,개롱,송파구 오금로 402 (가락동),송파구,가락동,오금동
2560,5,거여,송파구 오금로 499 (거여동),송파구,거여동,거여1동
2561,5,마천,송파구 마천로57길 7 (마천동),송파구,마천동,마천1동
2611,6,응암,은평구 증산로 477 (역촌동),은평구,역촌동,신사1동
2612,6,역촌,은평구 서오릉로 63 (녹번동),은평구,녹번동,역촌동
