지역구,지역동,업종,점포수,,,,,,,,,,,,,,,,
구로구,개봉1동,커피전문점,33,,,,,,,,,,,,,,,,
구로구,개봉2동,커피전문점,22,,,,,,,,,,,,,,,,
구로구,개봉3동,커피전문점,22,,,,,,,,,,,,,,,,
구로구,오류1동,커피전문점,13,,,,,,,,,,,,,,,,
구로구,오류2동,커피전문점,37,,,,,,,,,,,,,,,,
구로구,수궁동,커피전문점,20,,,,,,,,,,,,,,,,
금천구,가산동,커피전문점,263,,,,,,,,,,,,,,,,
금천구,독산1동,커피전문점,59,,,,,,,,,,,,,,,,
금천구,독산2동,커피전문점,18,,,,,,,,,,,,,,,,
금천구,독산3동,커피전문점,23,,,,,,,,,,,,,,,,
금천구,독산4동,커피전문점,20,,,,,,,,,,,,,,,,
금천구,시흥1동,커피전문점,54,,,,,,,,,,,,,,,,
금천구,시흥2동,커피전문점,13,,,,,,,,,,,,,,,,
금천구,시흥3동,커피전문점,10,,,,,,,,,,,,,,,,
금천구,시흥4동,커피전문점,10,,,,,,,,,,,,,,,,
금천구,시흥5동,커피전문점,15,,,,,,,,,,,,,,,,
영등포구,영등포본동,커피전문점,40,,,,,,,,,,,,,,,,
영등포구,영등포동,커피전문점,130,,,,,,,,,,,,,,,,
영등포구,여의동,커피전문점,316,,,,,,,,,,,,,,,,
영등포구,당산1동,커피전문점,80,,,,,,,,,,,,,,,,
영등포구,당산2동,커피전문점,89,,,,,,,,,,,,,,,,
영등포구,도림동,커피전문점,28,,,,,,,,,,,,,,,,
영등포구,문래동,커피전문점,112,,,,,,,,,,,,,,,,
영등포구,양평1동,커피전문점,59,,,,,,,,,,,,,,,,
영등포구,양평2동,커피전문점,75,,,,,,,,,,,,,,,,
영등포구,신길1동,커피전문점,23,,,,,,,,,,,,,,,,
영등포구,신길3동,커피전문점,18,,,,,,,,,,,,,,,,
영등포구,신길4동,커피전문점,9,,,,,,,,,,,,,,,,
영등포구,신길5동,커피전문점,8,,,,,,,,,,,,,,,,
영등포구,신길6동,커피전문점,34,,,,,,,,,,,,,,,,
영등포구,신길7동,커피전문점,21,,,,,,,,,,,,,,,,
영등포구,대림1동,커피전문점,14,,,,,,,,,,,,,,,,
영등포구,대림2동,커피전문점,21,,,,,,,,,,,,,,,,
영등포구,대림3동,커피전문점,31,,,,,,,,,,,,,,,,
동작구,노량진1동,커피전문점,104,,,,,,,,,,,,,,,,
동작구,노량진2동,커피전문점,41,,,,,,,,,,,,,,,,
동작구,상도1동,커피전문점,84,,,,,,,,,,,,,,,,
동작구,상도2동,커피전문점,29,,,,,,,,,,,,,,,,
동작구,상도3동,커피전문점,22,,,,,,,,,,,,,,,,
동작구,상도4동,커피전문점,28,,,,,,,,,,,,,,,,
동작구,흑석동,커피전문점,66,,,,,,,,,,,,,,,,
동작구,사당1동,커피전문점,58,,,,,,,,,,,,,,,,
동작구,사당2동,커피전문점,44,,,,,,,,,,,,,,,,
동작구,사당3동,커피전문점,29,,,,,,,,,,,,,,,,
동작구,사당4동,커피전문점,13,,,,,,,,,,,,,,,,
동작구,사당5동,커피전문점,16,,,,,,,,,,,,,,,,
동작구,대방동,커피전문점,40,,,,,,,,,,,,,,,,
동작구,신대방1동,커피전문점,18,,,,,,,,,,,,,,,,
동작구,신대방2동,커피전문점,42,,,,,,,,,,,,,,,,
관악구,보라매동,커피전문점,28,,,,,,,,,,,,,,,,
관악구,청림동,커피전문점,12,,,,,,,,,,,,,,,,
관악구,성현동,커피전문점,12,,,,,,,,,,,,,,,,
관악구,행운동,커피전문점,45,,,,,,,,,,,,,,,,
관악구,낙성대동,커피전문점,78,,,,,,,,,,,,,,,,
관악구,청룡동,커피전문점,68,,,,,,,,,,,,,,,,
관악구,은천동,커피전문점,28,,,,,,,,,,,,,,,,
관악구,중앙동,커피전문점,28,,,,,,,,,,,,,,,,
관악구,인헌동,커피전문점,33,,,,,,,,,,,,,,,,
관악구,남현동,커피전문점,32,,,,,,,,,,,,,,,,
관악구,서원동,커피전문점,46,,,,,,,,,,,,,,,,
관악구,신원동,커피전문점,11,,,,,,,,,,,,,,,,
관악구,서림동,커피전문점,26,,,,,,,,,,,,,,,,
관악구,신사동,커피전문점,30,,,,,,,,,,,,,,,,
관악구,신림동,커피전문점,57,,,,,,,,,,,,,,,,
관악구,난향동,커피전문점,5,,,,,,,,,,,,,,,,
관악구,조원동,커피전문점,40,,,,,,,,,,,,,,,,
관악구,대학동,커피전문점,89,,,,,,,,,,,,,,,,
관악구,삼성동,커피전문점,8,,,,,,,,,,,,,,,,
관악구,미성동,커피전문점,26,,,,,,,,,,,,,,,,
관악구,난곡동,커피전문점,12,,,,,,,,,,,,,,,,
서초구,서초1동,커피전문점,106,,,,,,,,,,,,,,,,
서초구,서초2동,커피전문점,118,,,,,,,,,,,,,,,,
서초구,서초3동,커피전문점,238,,,,,,,,,,,,,,,,
서초구,서초4동,커피전문점,96,,,,,,,,,,,,,,,,
서초구,잠원동,커피전문점,72,,,,,,,,,,,,,,,,
서초구,반포본동,커피전문점,16,,,,,,,,,,,,,,,,
서초구,반포1동,커피전문점,67,,,,,,,,,,,,,,,,
서초구,반포2동,커피전문점,8,,,,,,,,,,,,,,,,
서초구,반포3동,커피전문점,23,,,,,,,,,,,,,,,,
서초구,반포4동,커피전문점,111,,,,,,,,,,,,,,,,
서초구,방배본동,커피전문점,57,,,,,,,,,,,,,,,,
서초구,방배1동,커피전문점,53,,,,,,,,,,,,,,,,
서초구,방배2동,커피전문점,58,,,,,,,,,,,,,,,,
서초구,방배3동,커피전문점,31,,,,,,,,,,,,,,,,
서초구,방배4동,커피전문점,61,,,,,,,,,,,,,,,,
서초구,양재1동,커피전문점,132,,,,,,,,,,,,,,,,
서초구,양재2동,커피전문점,122,,,,,,,,,,,,,,,,
서초구,내곡동,커피전문점,22,,,,,,,,,,,,,,,,
강남구,신사동,커피전문점,219,,,,,,,,,,,,,,,,
강남구,논현1동,커피전문점,158,,,,,,,,,,,,,,,,
강남구,논현2동,커피전문점,203,,,,,,,,,,,,,,,,
강남구,압구정동,커피전문점,166,,,,,,,,,,,,,,,,
강남구,청담동,커피전문점,137,,,,,,,,,,,,,,,,
강남구,삼성1동,커피전문점,168,,,,,,,,,,,,,,,,
강남구,삼성2동,커피전문점,118,,,,,,,,,,,,,,,,
강남구,대치1동,커피전문점,29,,,,,,,,,,,,,,,,
강남구,대치2동,커피전문점,133,,,,,,,,,,,,,,,,
강남구,대치4동,커피전문점,149,,,,,,,,,,,,,,,,
강남구,역삼1동,커피전문점,535,,,,,,,,,,,,,,,,
강남구,역삼2동,커피전문점,125,,,,,,,,,,,,,,,,
강남구,도곡1동,커피전문점,54,,,,,,,,,,,,,,,,
강남구,도곡2동,커피전문점,46,,,,,,,,,,,,,,,,
강남구,개포1동,커피전문점,3,,,,,,,,,,,,,,,,
강남구,개포2동,커피전문점,19,,,,,,,,,,,,,,,,
강남구,개포4동,커피전문점,35,,,,,,,,,,,,,,,,
강남구,세곡동,커피전문점,45,,,,,,,,,,,,,,,,
강남구,일원본동,커피전문점,15,,,,,,,,,,,,,,,,
강남구,일원1동,커피전문점,26,,,,,,,,,,,,,,,,
강남구,일원2동,커피전문점,11,,,,,,,,,,,,,,,,
강남구,수서동,커피전문점,36,,,,,,,,,,,,,,,,
송파구,풍납1동,커피전문점,11,,,,,,,,,,,,,,,,
송파구,풍납2동,커피전문점,24,,,,,,,,,,,,,,,,
송파구,거여1동,커피전문점,21,,,,,,,,,,,,,,,,
송파구,거여2동,커피전문점,12,,,,,,,,,,,,,,,,
송파구,마천1동,커피전문점,13,,,,,,,,,,,,,,,,
송파구,마천2동,커피전문점,20,,,,,,,,,,,,,,,,
송파구,방이1동,커피전문점,59,,,,,,,,,,,,,,,,
송파구,방이2동,커피전문점,66,,,,,,,,,,,,,,,,
송파구,오륜동,커피전문점,21,,,,,,,,,,,,,,,,
송파구,오금동,커피전문점,70,,,,,,,,,,,,,,,,
송파구,송파1동,커피전문점,112,,,,,,,,,,,,,,,,
송파구,송파2동,커피전문점,26,,,,,,,,,,,,,,,,
송파구,석촌동,커피전문점,89,,,,,,,,,,,,,,,,
송파구,삼전동,커피전문점,72,,,,,,,,,,,,,,,,
송파구,가락본동,커피전문점,87,,,,,,,,,,,,,,,,
송파구,가락1동,커피전문점,22,,,,,,,,,,,,,,,,
송파구,가락2동,커피전문점,46,,,,,,,,,,,,,,,,
송파구,문정1동,커피전문점,35,,,,,,,,,,,,,,,,
송파구,문정2동,커피전문점,217,,,,,,,,,,,,,,,,
송파구,장지동,커피전문점,42,,,,,,,,,,,,,,,,
송파구,위례동,커피전문점,29,,,,,,,,,,,,,,,,
송파구,잠실본동,커피전문점,88,,,,,,,,,,,,,,,,
송파구,잠실2동,커피전문점,26,,,,,,,,,,,,,,,,
송파구,잠실3동,커피전문점,45,,,,,,,,,,,,,,,,
송파구,잠실4동,커피전문점,13,,,,,,,,,,,,,,,,
송파구,잠실6동,커피전문점,71,,,,,,,,,,,,,,,,
송파구,잠실7동,커피전문점,5,,,,,,,,,,,,,,,,
강동구,강일동,커피전문점,17,,,,,,,,,,,,,,,,
강동구,상일동,커피전문점,33,,,,,,,,,,,,,,,,
강동구,명일1동,커피전문점,60,,,,,,,,,,,,,,,,
강동구,명일2동,커피전문점,32,,,,,,,,,,,,,,,,
강동구,고덕1동,커피전문점,20,,,,,,,,,,,,,,,,
강동구,고덕2동,커피전문점,15,,,,,,,,,,,,,,,,
강동구,암사1동,커피전문점,40,,,,,,,,,,,,,,,,
강동구,암사2동,커피전문점,25,,,,,,,,,,,,,,,,
강동구,암사3동,커피전문점,10,,,,,,,,,,,,,,,,
강동구,천호1동,커피전문점,29,,,,,,,,,,,,,,,,
강동구,천호2동,커피전문점,77,,,,,,,,,,,,,,,,
강동구,천호3동,커피전문점,38,,,,,,,,,,,,,,,,
